Price,Promotional_Price,Url
,"219,-",https://www.coolblue.nl/en/product/795383/sonos-one-white.html
,"749,-",https://www.coolblue.nl/en/product/819397/klipsch-rp-8000f-each.html
,"159,-",https://www.coolblue.nl/en/product/792969/vogel-s-wall-3245-black.html
,"599,-",https://www.coolblue.nl/en/product/730464/optoma-gt1070xe.html
,"699,-",https://www.coolblue.nl/en/product/801907/benq-th671st.html
,"227,-",https://www.coolblue.nl/en/product/642886/yamaha-wx-030-musiccast-black.html
,"649,-",https://www.coolblue.nl/en/product/819470/klipsch-spl-100-subwoofer-black.html
,"399,-",https://www.coolblue.nl/en/product/715908/bowers-wilkins-ccm632-per-pair.html
,"649,-",https://www.coolblue.nl/en/product/807654/kef-kube10b.html
,"699,-",https://www.coolblue.nl/en/product/810512/vivitek-qumi-q38-red.html
,"499,-",https://www.coolblue.nl/en/product/802910/vivitek-qumi-q3-plus-black.html
,"1.799,-",https://www.coolblue.nl/en/product/619907/benq-mh856ust.html
,"73,99",https://www.coolblue.nl/en/product/817239/turtle-beach-stealth-300x-xbox-one-edition.html
"44,99","39,99",https://www.coolblue.nl/en/product/652126/turtle-beach-ear-force-recon-50p.html
,"39,99",https://www.coolblue.nl/en/product/725272/one-for-all-wm4411.html
"649,-","574,-",https://www.coolblue.nl/en/second-chance-product/696111
,"641,-",https://www.coolblue.nl/en/product/786587/hp-1820-48g-poe-370w.html
,"28,99",https://www.coolblue.nl/en/product/725269/one-for-all-wm4221.html
,"219,-",https://www.coolblue.nl/en/product/777708/sony-suwl840.html
,"539,-",https://www.coolblue.nl/en/product/809891/benq-mw612.html
"499,-","349,-",https://www.coolblue.nl/en/second-chance-product/662971
,"1.399,-",https://www.coolblue.nl/en/product/809892/benq-w1600ust.html
"699,-","581,-",https://www.coolblue.nl/en/second-chance-product/718913
"1.799,-","1.710,-",https://www.coolblue.nl/en/second-chance-product/720053
,"403,95",https://www.coolblue.nl/en/product/815447/lg-ph30jg.html
,"699,-",https://www.coolblue.nl/en/product/810511/vivitek-qumi-q38-zwart.html
"1.199,-","1.071,-",https://www.coolblue.nl/en/second-chance-product/704563
"799,-","714,-",https://www.coolblue.nl/en/second-chance-product/718015
,"132,99",https://www.coolblue.nl/en/product/90265/netgear-gs724t-24-port-gigabit-switch.html
,"91,99",https://www.coolblue.nl/en/product/744767/netgear-gs324.html
,"129,95",https://www.coolblue.nl/en/product/610779/marmitek-connect-540-uhd-3d.html
,"129,95",https://www.coolblue.nl/en/product/790412/marmitek-connect-621-uhd-2-0.html
,"1.139,-",https://www.coolblue.nl/en/product/818861/sony-kd-65xf7596.html
,"369,-",https://www.coolblue.nl/en/product/771309/netgear-m4100-26g.html
,"494,-",https://www.coolblue.nl/en/product/805056/epson-eb-x39.html
"1.399,-","1.290,-",https://www.coolblue.nl/en/second-chance-product/689846
,"549,-",https://www.coolblue.nl/en/product/666115/benq-mx631st.html
"403,95","373,-",https://www.coolblue.nl/en/second-chance-product/680945
"699,-","564,-",https://www.coolblue.nl/en/second-chance-product/700547
,"399,-",https://www.coolblue.nl/en/product/825808/benq-gv1.html
"299,-","209,-",https://www.coolblue.nl/en/product/488717/acer-c205.html
,"389,-",https://www.coolblue.nl/en/product/809756/sony-mp-cd1.html
,"982,96",https://www.coolblue.nl/en/product/790880/benq-mh750.html
,"49,95",https://www.coolblue.nl/en/product/543236/marmitek-connect-ts21.html
"1.139,-","1.071,-",https://www.coolblue.nl/en/second-chance-product/704261
,"14,99",https://www.coolblue.nl/en/product/473015/scanpart-time-switch-digital-week-compact.html
,"135,-",https://www.coolblue.nl/en/product/394208/d-link-dgs-1024d.html
"369,-","351,-",https://www.coolblue.nl/en/second-chance-product/719325
"129,95","96,-",https://www.coolblue.nl/en/second-chance-product/675610
,"189,99",https://www.coolblue.nl/en/product/460545/linksys-lgs326.html
,"236,-",https://www.coolblue.nl/en/product/90268/netgear-fs728tp-24-port-poe-switch.html
